category,roman_urdu,urdu_script,translated_by_llm,translated_by_google
Health,mujhe bukhar hai,مجھے بخار ہے,I have a fever,I have a fever
Health,mera sir dard kar raha hai,میرا سر درد کر رہا ہے,My head hurts,I have a headache
Health,mujhe khansi hai,مجھے کھانسی ہے,I am coughing,I have a cough
Health,mera gala dard kar raha hai,میرا گلا درد کر رہا ہے,My throat hurts,My throat hurts
Health,mujhe pet dard hai,مجھے پیٹ درد ہے,I have a stomach ache,I have a stomach ache
Health,mujhe ulti ho rahi hai,مجھے الٹی ہو رہی ہے,I am vomiting,I am vomiting
Health,mujhe chakkar aa rahe hain,مجھے چکر آ رہے ہیں,I feel dizzy,I feel dizzy
Health,mera badan thak gaya hai,میرا بدن تھک گیا ہے,My body feels tired,My body is tired
Health,mujhe sardee lag rahi hai,مجھے سردی لگ رہی ہے,I feel cold,I feel cold
Health,mera gala sujan hai,میرا گلا سوجن ہے,My throat is swollen,My throat is swollen
Health,mujhe saans lene mein mushkil hai,مجھے سانس لینے میں مشکل ہے,I have difficulty breathing,I have difficulty breathing
Health,mera pair dard kar raha hai,میرا پیر درد کر رہا ہے,My leg hurts,My foot hurts
Health,mera haath dard kar raha hai,میرا ہاتھ درد کر رہا ہے,My hand hurts,My hand hurts
Health,mujhe allergy ho gayi hai,مجھے الرجی ہو گئی ہے,I have an allergy,I am allergic
Health,mera pet phool gaya hai,میرا پیٹ پھول گیا ہے,My stomach is bloated,My stomach is bloated
Health,mujhe skin rash hai,مجھے جلد پر خارش ہے,I have a skin rash,I have itchy skin
Health,mera kamar dard kar raha hai,میری کمر درد کر رہی ہے,My back hurts,My back hurts
Health,mujhe thakan mehsoos ho rahi hai,مجھے تھکن محسوس ہو رہی ہے,I feel fatigued,I feel tired
Health,mera sir bohat tez dard kar raha hai,میرا سر بہت تیز درد کر رہا ہے,My head is throbbing,My head hurts very fast
Health,mujhe pet mein jalan hai,مجھے پیٹ میں جلن ہے,I have a burning sensation in my stomach,I have heartburn
Health,mujhe nausea ho rahi hai,مجھے متلی ہو رہی ہے,I feel nauseous,I'm getting nauseous
Health,mera sir ghoom raha hai,میرا سر گھوم رہا ہے,My head is spinning,My head is spinning
Health,mujhe aankh laal hai,میری آنکھ لال ہے,My eye is red,My eye is red
Health,mera gala khushk hai,میرا گلا خشک ہے,My throat is dry,My throat is dry
Health,mujhe muscle pain hai,مجھے پٹھوں میں درد ہے,I have muscle pain,I have muscle pain
Health,mera badan dard kar raha hai,میرا بدن درد کر رہا ہے,My body hurts,My body is aching
Health,mujhe sardee aur bukhar hai,مجھے سردی اور بخار ہے,I have a cold and fever,I have chills and fever
Health,mera haath sujan hai,میرا ہاتھ سوجن ہے,My hand is swollen,My hand is swollen
Health,mera pair sujan hai,میرا پیر سوجن ہے,My leg is swollen,My foot is swollen
